epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_precision,val_recall,val_f1_score
1,0.3229593033530961,0.8636886503067485,0.38384464383125305,0.75,0.6666666666666666,1.0,0.8
2,0.1909234171813251,0.9250383435582822,0.23807722330093384,0.9375,1.0,0.875,0.9333333333333333
3,0.17194312593779681,0.9338573619631901,0.27889275550842285,0.8125,0.7272727272727273,1.0,0.8421052631578947
4,0.15182852107414438,0.941909509202454,0.24394744634628296,0.875,0.8,1.0,0.8888888888888888
5,0.14090448091137994,0.9444018404907976,0.16421836614608765,1.0,1.0,1.0,1.0
6,0.1429974843227973,0.9430598159509203,0.23655273020267487,0.875,0.8,1.0,0.8888888888888888
7,0.13469078856880315,0.9488113496932515,0.1939927190542221,0.9375,0.8888888888888888,1.0,0.9411764705882353
8,0.12587030715326225,0.9499616564417178,0.2740440368652344,0.875,0.8,1.0,0.8888888888888888
9,0.12779707124491044,0.9499616564417178,0.22744370996952057,0.875,0.8,1.0,0.8888888888888888
10,0.1328515404366825,0.950920245398773,0.26058894395828247,0.875,0.8,1.0,0.8888888888888888
